CustomerID,ProductID,Category,PurchaseAmount,PurchaseDate
065ca07e,P017,Home,176.8,2024-08-23
ccf36a86,P017,Home,63.79,2024-03-31
95d19278,P010,Electronics,33.45,2024-10-15
acecedfb,P036,Clothing,255.8,2024-08-26
291d2d49,P009,Books,165.25,2024-09-27
4ad8ed3d,P021,Home,127.5,2024-02-23
890be543,P027,Home,227.24,2024-10-01
42b0cf9c,P005,Clothing,379.4,2024-03-09
9db31a9d,P047,Books,437.64,2024-01-28
35673099,P037,Electronics,286.74,2024-12-01
e89bc814,P005,Clothing,53.38,2024-09-09
ba5d77f4,P020,Electronics,281.27,2024-09-21
d8098607,P006,Toys,44.1,2024-02-12
aa54620c,P024,Electronics,314.66,2024-03-01
23d88ba3,P017,Home,21.76,2024-01-26
8a7621e4,P034,Books,145.19,2024-02-24
450b97a6,P049,Clothing,167.43,2024-02-27
7471e242,P043,Clothing,254.58,2024-08-31
809a142d,P019,Clothing,332.32,2024-06-12
e2c862ac,P010,Electronics,324.58,2024-07-11
b7f9864a,P005,Clothing,419.58,2024-04-26
69904516,P030,Clothing,315.27,2024-07-31
959ba9fa,P019,Clothing,153.25,2024-05-04
b662580c,P038,Books,338.5,2024-04-09
9d1b1a65,P045,Home,181.37,2024-09-17
f877eed6,P040,Home,482.01,2024-08-20
f7c7e531,P038,Books,451.48,2024-04-19
f34e1225,P010,Electronics,197.9,2024-03-23
a3b85706,P028,Books,147.33,2025-01-13
e2004e55,P008,Electronics,116.92,2024-03-15
0946e414,P041,Toys,407.63,2024-03-08
058548b3,P020,Electronics,456.83,2024-06-21
f5381975,P010,Electronics,63.95,2024-05-15
35673099,P037,Electronics,13.12,2024-04-05
f5381975,P036,Clothing,164.93,2025-01-11
e6c2b179,P030,Clothing,188.17,2024-10-16
ba3eba05,P040,Home,472.41,2024-05-07
12eb20d9,P045,Home,431.09,2024-05-01
e946163b,P005,Clothing,150.57,2024-04-11
7cc80bf1,P044,Electronics,100.78,2024-03-08
d7a85983,P007,Home,316.88,2024-10-03
8d0eddec,P018,Toys,46.76,2024-05-10
446fbfa3,P021,Home,61.82,2024-03-29
f57db169,P048,Books,267.35,2024-10-09
9ad62468,P011,Electronics,399.59,2025-01-11
71d1d1eb,P005,Clothing,412.83,2024-09-10
7cc80bf1,P013,Books,271.89,2025-01-06
38a80cc8,P001,Clothing,492.43,2024-12-20
71e6e8f6,P021,Home,104.43,2024-11-24
b3ce87e0,P023,Home,46.32,2024-06-28
3bb65c7e,P028,Books,19.57,2024-09-03
14c8a14a,P049,Clothing,368.91,2024-08-28
049af882,P041,Toys,126.52,2024-02-13
95d19278,P031,Books,497.09,2024-11-19
f2f82d10,P028,Books,73.51,2024-07-11
2d2a2262,P008,Electronics,158.38,2024-11-14
43392907,P031,Books,283.69,2024-01-17
853fe2ac,P017,Home,110.02,2024-09-15
aaa625ce,P039,Clothing,370.37,2024-01-29
f04f6e21,P029,Books,87.17,2024-09-15
fed3931a,P040,Home,216.53,2024-09-08
35673099,P025,Electronics,436.64,2024-07-04
06be3a75,P021,Home,496.88,2025-01-12
6366d64f,P003,Electronics,262.2,2024-07-26
319b9ed6,P032,Home,180.97,2024-12-07
3e6d0bea,P008,Electronics,313.64,2024-09-19
64a8b2f8,P047,Books,323.03,2025-01-09
d04dd3a7,P012,Clothing,418.68,2024-03-21
0946e414,P025,Electronics,16.5,2024-09-06
53443521,P013,Books,110.75,2024-07-25
fca377b1,P036,Clothing,255.38,2024-06-11
a8806415,P035,Books,159.26,2024-05-05
6ae63e3d,P011,Electronics,410.13,2024-01-31
7979b2f9,P037,Electronics,188.35,2025-01-08
31b6beef,P024,Electronics,259.27,2024-03-26
a76e929d,P021,Home,323.78,2024-10-17
e6e46be2,P003,Electronics,423.84,2024-07-21
54c50ab8,P031,Books,479.24,2024-11-23
ccf36a86,P025,Electronics,51.79,2024-10-27
f9605116,P014,Home,321.24,2024-02-04
68431973,P023,Home,350.64,2024-07-11
93925bfb,P001,Clothing,451.3,2024-07-03
a6d64afb,P001,Clothing,28.92,2024-09-12
823b8a75,P039,Clothing,132.05,2024-11-23
6ae63e3d,P034,Books,76.05,2024-04-23
2c0973f5,P010,Electronics,168.16,2024-09-01
c3070905,P012,Clothing,359.65,2024-09-17
b3ce87e0,P004,Toys,279.84,2024-06-05
71e6e8f6,P032,Home,119.36,2024-06-16
8995d7a5,P011,Electronics,327.26,2024-03-15
bac9253d,P012,Clothing,344.25,2024-10-27
fdc63854,P013,Books,42.45,2024-08-21
2d2a2262,P006,Toys,20.98,2024-07-31
249744df,P022,Electronics,129.14,2024-10-21
aa280371,P014,Home,411.11,2024-07-02
e7dfa29c,P028,Books,88.78,2024-03-29
e569abb6,P011,Electronics,70.89,2024-11-29
82784674,P021,Home,361.47,2024-04-02
dc73ac85,P043,Clothing,422.46,2024-11-04
0243db9a,P037,Electronics,158.01,2024-05-16
9b7e381f,P040,Home,499.01,2024-04-13
4cb7bc1c,P041,Toys,326.7,2024-11-07
b343fa01,P012,Clothing,44.28,2024-08-19
dbfa7223,P017,Home,175.31,2024-02-28
5a0f428a,P045,Home,461.53,2024-03-28
0fc663d6,P048,Books,474.56,2024-05-17
dd6936be,P005,Clothing,371.1,2024-12-10
81111eb1,P025,Electronics,482.45,2024-06-26
22d6cd4d,P013,Books,428.43,2024-05-27
b7f9864a,P002,Toys,218.92,2024-05-27
cf3474cc,P048,Books,208.49,2024-08-27
c5b1af84,P037,Electronics,114.24,2024-12-16
e21dd4ed,P000,Books,438.64,2024-08-02
2b0cd0e1,P036,Clothing,354.86,2024-02-17
10be28d9,P019,Clothing,356.03,2024-08-15
667efdad,P034,Books,350.43,2025-01-03
b8371291,P044,Electronics,304.32,2024-07-14
ad2fa435,P017,Home,129.51,2024-01-26
d6aee954,P000,Books,363.52,2024-05-02
d620c6da,P011,Electronics,383.04,2024-12-04
046739fa,P048,Books,485.38,2024-11-02
b296079c,P011,Electronics,471.51,2024-07-30
5a0f428a,P014,Home,63.19,2024-09-24
a8828c6a,P027,Home,49.1,2024-11-21
e33b86c6,P036,Clothing,332.56,2024-06-03
f70a91d7,P043,Clothing,425.26,2024-05-02
21c127d4,P037,Electronics,412.14,2024-06-29
9ad62468,P040,Home,280.44,2024-09-29
667efdad,P020,Electronics,145.27,2024-08-17
9b344c07,P048,Books,320.84,2024-03-01
21e99e3f,P036,Clothing,100.44,2024-04-16
f9a3b212,P020,Electronics,415.51,2024-02-02
96992d7b,P020,Electronics,154.13,2024-10-10
f9605116,P014,Home,242.3,2024-01-31
319b9ed6,P031,Books,375.04,2024-11-06
f9b87c67,P045,Home,323.01,2024-10-24
391043bb,P005,Clothing,200.55,2024-12-03
81111eb1,P044,Electronics,99.4,2024-05-31
7751c9e3,P046,Clothing,93.23,2024-05-27
c5ef8ce7,P039,Clothing,93.56,2024-09-18
b7a57bcb,P018,Toys,447.54,2024-05-14
5296620b,P037,Electronics,269.34,2024-09-20
c27362b8,P003,Electronics,15.24,2024-12-07
f04f6e21,P000,Books,383.43,2024-06-18
1034fc23,P018,Toys,434.72,2024-12-28
f4e5b416,P022,Electronics,446.1,2024-06-26
f70a91d7,P019,Clothing,62.94,2024-03-16
2b31b9eb,P018,Toys,415.39,2024-02-26
b860f116,P041,Toys,446.37,2024-06-21
9613b4e3,P002,Toys,483.59,2024-10-15
139dcbe3,P030,Clothing,347.53,2024-04-10
5161e9da,P000,Books,392.76,2024-02-09
3f90720e,P046,Clothing,378.95,2024-11-09
9c0841b6,P040,Home,165.24,2024-01-15
822edfe4,P045,Home,126.39,2024-11-01
e45e91d8,P036,Clothing,13.4,2024-03-18
dd6936be,P021,Home,213.86,2024-02-12
8f69a5e1,P024,Electronics,428.2,2024-01-18
29073ed0,P008,Electronics,256.46,2024-03-03
cf0ca9d7,P049,Clothing,109.63,2024-07-17
6b143361,P002,Toys,254.69,2024-09-16
abfd9006,P029,Books,264.78,2024-06-23
49223b9c,P010,Electronics,259.68,2024-12-25
ab9e4e6f,P046,Clothing,416.9,2024-06-26
0403aad1,P015,Clothing,350.61,2024-11-19
f7c7e531,P032,Home,478.88,2024-06-28
52d0846d,P017,Home,237.28,2024-02-06
ab9e4e6f,P017,Home,313.67,2024-01-25
8d910018,P032,Home,403.22,2024-06-30
049af882,P005,Clothing,359.78,2024-09-25
c7ee9cce,P018,Toys,433.66,2024-04-14
a9f60753,P035,Books,221.1,2024-05-29
e47d6826,P021,Home,186.53,2024-09-07
9690b6c5,P013,Books,441.14,2024-02-25
fd9e69df,P027,Home,110.37,2024-10-19
96c0f38b,P005,Clothing,395.93,2024-05-27
1973ec23,P023,Home,14.84,2024-04-14
1973ec23,P000,Books,420.43,2024-09-20
9fbcd39d,P044,Electronics,329.15,2024-11-15
b7f9864a,P000,Books,242.33,2024-10-23
2eaff0de,P032,Home,341.32,2025-01-06
ccf36a86,P039,Clothing,207.6,2024-08-27
71648dc5,P021,Home,416.27,2024-10-01
7f2bb5fb,P022,Electronics,320.65,2024-01-26
abfd9006,P022,Electronics,460.58,2024-10-29
b205f0a4,P002,Toys,14.06,2024-08-09
7d25ef58,P037,Electronics,259.97,2024-11-24
22d6cd4d,P029,Books,362.77,2024-06-23
75c70515,P023,Home,108.01,2024-11-29
2c5714f3,P036,Clothing,60.08,2024-02-24
01fcbbf9,P046,Clothing,129.83,2024-12-10
8a7621e4,P019,Clothing,457.12,2024-01-24
1c02c2fa,P020,Electronics,460.39,2024-12-17
9690b6c5,P026,Clothing,66.69,2024-02-03
f9605116,P045,Home,141.35,2024-11-16
69933ccb,P003,Electronics,455.94,2024-02-03
63018a59,P035,Books,361.09,2024-10-02
c812d609,P020,Electronics,392.41,2025-01-08
8f8dc337,P030,Clothing,221.06,2024-04-07
ba3eba05,P022,Electronics,168.33,2024-03-04
2830b6f3,P041,Toys,126.16,2024-03-05
db811470,P008,Electronics,397.43,2024-11-04
139dcbe3,P006,Toys,197.04,2024-03-14
f57db169,P015,Clothing,105.64,2024-06-22
396390e4,P036,Clothing,249.39,2024-08-17
8113870b,P013,Books,95.67,2024-07-14
68ec9835,P036,Clothing,335.62,2024-11-26
9b9287aa,P044,Electronics,226.61,2025-01-02
28ea2ae7,P049,Clothing,457.28,2024-05-05
77f3e92e,P030,Clothing,265.23,2024-03-02
f261b8e1,P029,Books,99.93,2024-04-28
319b9ed6,P007,Home,46.63,2024-04-30
dd5d03b6,P014,Home,394.62,2024-10-23
b860f116,P038,Books,215.99,2024-09-12
0b42399f,P049,Clothing,107.89,2024-12-20
2d38c37a,P006,Toys,341.11,2024-03-23
291e2b09,P039,Clothing,499.54,2024-06-24
d6b252c7,P012,Clothing,219.31,2024-04-29
72073934,P023,Home,431.25,2024-11-06
516e5a8e,P001,Clothing,360.37,2024-10-23
a9f60753,P017,Home,132.7,2024-09-24
71648dc5,P043,Clothing,129.36,2024-03-28
63d40fbc,P040,Home,300.7,2024-06-30
2d2a2262,P045,Home,398.16,2024-07-09
72df0fcf,P010,Electronics,38.73,2024-02-11
ce7e3a66,P032,Home,436.09,2024-06-12
809a142d,P043,Clothing,338.42,2024-01-21
9beb81e2,P026,Clothing,77.22,2024-05-31
95879f92,P033,Books,438.54,2024-04-20
fdc63854,P014,Home,233.68,2024-01-29
9c0841b6,P008,Electronics,223.15,2024-07-25
de1b896f,P009,Books,22.58,2024-02-21
feddb6fb,P021,Home,294.85,2024-06-17
96c0f38b,P014,Home,341.99,2024-12-15
782c9584,P042,Books,422.24,2024-02-26
90da61cd,P033,Books,456.01,2024-03-28
08848a09,P031,Books,462.53,2024-12-02
579b90c0,P002,Toys,196.12,2024-06-20
139dcbe3,P040,Home,404.34,2024-06-28
d6b252c7,P031,Books,245.63,2024-02-01
2b0cd0e1,P036,Clothing,374.67,2024-12-01
3c32ba27,P011,Electronics,343.04,2024-03-07
2830b6f3,P005,Clothing,439.05,2024-11-01
7f2bb5fb,P048,Books,260.88,2024-06-04
0dc4d455,P010,Electronics,464.23,2024-07-14
c3070905,P012,Clothing,339.53,2024-08-23
93925bfb,P022,Electronics,113.17,2024-09-28
5a54e744,P032,Home,350.77,2024-06-04
8d939349,P010,Electronics,170.3,2024-11-05
5132be4f,P047,Books,313.29,2024-03-02
4ad8ed3d,P048,Books,119.22,2025-01-12
3290f607,P041,Toys,488.74,2024-04-09
63725b12,P035,Books,159.22,2024-03-24
fca377b1,P026,Clothing,249.44,2024-04-07
d4846b7c,P026,Clothing,271.32,2024-06-30
cbb30af2,P033,Books,429.43,2024-10-26
65d6e232,P029,Books,62.91,2024-09-30
c936ec94,P043,Clothing,264.98,2024-08-23
1d00df04,P040,Home,196.63,2024-04-03
8ec50618,P016,Books,445.85,2024-10-26
d7a85983,P046,Clothing,133.43,2025-01-08
f9a3b212,P036,Clothing,349.25,2024-03-08
ad2fa435,P026,Clothing,55.47,2024-07-20
9682351f,P045,Home,358.33,2024-07-06
dd6936be,P047,Books,282.18,2024-06-24
5e19b0d3,P017,Home,270.44,2024-01-18
9d3f61cd,P012,Clothing,157.17,2024-12-27
d3c3b058,P049,Clothing,52.53,2024-12-05
8f01ed4a,P035,Books,321.7,2024-06-07
21e99e3f,P002,Toys,315.58,2024-12-17
7ab64631,P043,Clothing,36.08,2024-12-22
249744df,P006,Toys,323.74,2024-09-09
11d3e715,P007,Home,372.68,2024-01-21
8e352df5,P042,Books,181.26,2024-03-22
cf365eeb,P046,Clothing,235.91,2024-02-21
72073934,P045,Home,98.8,2024-03-01
cfd69c5c,P036,Clothing,360.47,2024-12-26
ebb172bb,P006,Toys,356.84,2024-06-24
04f75f55,P021,Home,338.68,2024-04-14
71d1d1eb,P048,Books,124.25,2024-11-29
8e352df5,P033,Books,241.52,2024-08-14
c8dde184,P042,Books,23.85,2024-07-17
b3ba0f5c,P026,Clothing,327.75,2024-10-16
222753d0,P022,Electronics,296.06,2024-10-12
aaa625ce,P018,Toys,33.1,2024-06-21
e47d6826,P000,Books,185.58,2024-02-01
52d0846d,P049,Clothing,297.1,2024-06-25
21e99e3f,P047,Books,31.4,2024-09-14
86ca424b,P027,Home,5.61,2024-07-03
01fcbbf9,P049,Clothing,379.79,2024-02-28
b7f9864a,P028,Books,276.11,2024-10-18
296f0859,P016,Books,149.14,2024-03-29
5f29f787,P008,Electronics,110.66,2024-05-02
f5381975,P034,Books,356.61,2024-03-04
a1687d07,P047,Books,275.64,2024-04-10
2c5714f3,P022,Electronics,202.72,2024-03-12
11e1da74,P043,Clothing,354.27,2024-04-23
38a2c6de,P003,Electronics,214.12,2024-05-27
f3a7be05,P000,Books,195.25,2024-06-08
63a639f7,P044,Electronics,436.13,2024-06-14
5132be4f,P004,Toys,411.71,2024-07-26
a76e929d,P001,Clothing,208.64,2024-08-28
ee2f4dfc,P011,Electronics,97.47,2024-02-27
84789cc6,P025,Electronics,464.54,2024-12-13
2d38c37a,P029,Books,395.42,2024-02-17
fdc63854,P046,Clothing,25.93,2024-05-11
05c381af,P012,Clothing,491.07,2024-06-07
89a00855,P002,Toys,233.39,2024-05-26
9682351f,P016,Books,58.95,2024-05-19
e45e91d8,P026,Clothing,131.84,2024-03-11
1277138a,P045,Home,177.16,2024-04-24
0333330d,P009,Books,9.68,2024-07-12
abfd9006,P001,Clothing,342.09,2024-12-29
a9f60753,P035,Books,326.8,2024-02-22
ea735b4b,P018,Toys,58.64,2024-11-14
ef984ef7,P012,Clothing,424.48,2024-10-21
4ad8ed3d,P008,Electronics,319.69,2024-06-09
5f29f787,P035,Books,306.86,2024-02-08
95d19278,P030,Clothing,62.02,2024-07-21
0007f88b,P007,Home,316.94,2024-08-27
9db31a9d,P043,Clothing,110.46,2024-10-07
e0c38641,P020,Electronics,421.36,2024-04-02
c4ec83f8,P009,Books,394.34,2024-08-18
9f322467,P048,Books,44.58,2024-07-19
e7dfa29c,P003,Electronics,30.18,2024-08-29
5161e9da,P016,Books,194.74,2024-03-15
2d2a2262,P014,Home,345.15,2024-02-06
83fa286b,P028,Books,247.43,2024-10-08
2830b6f3,P024,Electronics,86.54,2024-10-18
565cfb97,P029,Books,115.44,2024-08-10
54593b27,P037,Electronics,71.8,2024-12-13
621785d4,P016,Books,17.25,2024-03-22
0f77eec5,P044,Electronics,422.1,2024-08-01
9ecd4d89,P041,Toys,198.77,2024-08-05
7e5f908c,P007,Home,493.77,2024-06-20
1c02c2fa,P017,Home,390.49,2024-10-19
d620c6da,P042,Books,30.26,2024-08-22
29073ed0,P000,Books,363.8,2024-02-23
065ca07e,P013,Books,133.42,2024-09-30
d6aee954,P019,Clothing,462.35,2024-03-20
d04dd3a7,P013,Books,298.88,2024-07-28
c4a9e3a4,P039,Clothing,76.61,2024-09-17
1277138a,P025,Electronics,42.96,2024-11-15
e2dfb140,P013,Books,489.96,2024-04-04
69904516,P023,Home,52.48,2024-05-14
c4f6a305,P009,Books,396.45,2024-11-22
9d1b1a65,P004,Toys,205.46,2024-12-07
de1b896f,P047,Books,482.36,2024-03-20
26c1afc4,P022,Electronics,365.96,2024-08-13
8d0eddec,P045,Home,249.94,2024-11-16
9d1b1a65,P029,Books,377.17,2024-03-20
c29eae90,P012,Clothing,488.74,2024-08-14
bbc83f30,P009,Books,298.82,2024-05-27
835ae011,P001,Clothing,25.47,2024-01-18
23d88592,P026,Clothing,255.83,2024-10-15
63d40fbc,P024,Electronics,137.15,2024-05-28
412f3a1e,P018,Toys,24.73,2024-07-08
781da338,P001,Clothing,288.24,2024-11-18
637c86ed,P023,Home,440.32,2024-10-24
ba3eba05,P018,Toys,319.39,2024-02-19
8e352df5,P016,Books,268.84,2024-04-19
2c5714f3,P040,Home,264.93,2024-01-30
5f5759e3,P041,Toys,232.85,2024-10-25
cd85e0a0,P010,Electronics,230.61,2024-11-15
f7c7e531,P009,Books,424.55,2024-05-21
c8dde184,P025,Electronics,70.93,2024-05-23
c4f6a305,P017,Home,321.05,2024-09-09
9ecd4d89,P042,Books,384.73,2024-02-03
745e00a3,P032,Home,454.27,2024-08-08
f9a3b212,P027,Home,87.08,2024-05-20
ee7f84fd,P030,Clothing,151.59,2024-09-21
05c381af,P003,Electronics,253.87,2024-07-08
4066cf42,P027,Home,421.77,2024-10-01
d3c3b058,P048,Books,352.18,2024-06-24
3c32ba27,P043,Clothing,475.11,2024-12-04
95879f92,P032,Home,268.25,2024-05-29
809a142d,P048,Books,317.13,2024-02-15
0b9b0713,P003,Electronics,321.96,2024-07-27
4ad8ed3d,P028,Books,193.91,2024-05-15
1c02c2fa,P003,Electronics,218.89,2024-10-08
b5b3add9,P004,Toys,472.75,2024-01-26
f877eed6,P037,Electronics,20.81,2024-06-22
782c9584,P003,Electronics,347.18,2024-07-13
f9b87c67,P019,Clothing,388.97,2024-07-08
f7252190,P013,Books,36.8,2024-04-13
291d2d49,P025,Electronics,468.18,2025-01-02
68ec9835,P001,Clothing,101.5,2024-08-06
2d2a2262,P018,Toys,499.88,2024-05-21
882fb47b,P034,Books,191.79,2024-04-09
38e2a530,P023,Home,416.08,2024-09-19
5270683c,P049,Clothing,325.87,2025-01-01
c4ec83f8,P006,Toys,303.03,2024-02-12
30ce86d7,P039,Clothing,225.92,2024-06-13
e7dfa29c,P045,Home,121.34,2024-08-14
0333330d,P038,Books,342.66,2024-09-07
8e352df5,P005,Clothing,116.35,2024-11-07
76ea02aa,P021,Home,439.79,2024-06-11
c4a9e3a4,P012,Clothing,346.82,2024-07-17
7d25ef58,P009,Books,147.65,2024-11-15
679185fe,P027,Home,51.01,2024-12-26
